"timestamp","source_path","destination_path","review_type","confidence","action_taken","notes"
"2026-04-03T22:06:37.2029241-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-19 195451.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-19 195451.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-19)"
"2026-04-03T22:06:37.2039240-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-19 195526.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-19 195526.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-19)"
"2026-04-03T22:06:37.2059261-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-19 195649.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-19 195649.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-19)"
"2026-04-03T22:06:37.2079233-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-19 195835.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-19 195835.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-19)"
"2026-04-03T22:06:37.2089279-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-19 200546.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-19 200546.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-19)"
"2026-04-03T22:06:37.2183390-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-20 171308.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-20 171308.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-20)"
"2026-04-03T22:06:37.2267596-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-22 193213.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-22 193213.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-22)"
"2026-04-03T22:06:37.2342595-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-23 172224.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-23 172224.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-23)"
"2026-04-03T22:06:37.2352645-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-23 174010.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-23 174010.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-23)"
"2026-04-03T22:06:37.2372618-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-23 174713.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-23 174713.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-23)"
