"repo_name","source_repo_path","staged_destination_path","axiom_bucket","included_top_level","excluded_top_level","risky_or_ambiguous_notes"
"the-omniscient-axiom-launcher","C:\Users\riley\Axiom\the-omniscient-axiom-launcher","C:\Users\riley\Drive-Staging\Axiom\06_Operations\the-omniscient-axiom-launcher_syncsafe","06_Operations","migrations; patches; public; scripts; src; .dev.vars.example; .gitignore; cloudflare-env.d.ts; components.json; eslint.config.mjs; middleware.ts; next.config.ts; open-next.config.ts; package-lock.json; package.json; postcss.config.mjs; README.md; setup.md; tsconfig.json; WORKER_DESKTOP_BOOTSTRAP_PROMPT.md; wrangler.jsonc",".git; tests; .env.pi.example; .env.worker.example; map-html.txt; map-output.json; remote-dev.err.log; remote-dev.out.log; start-ops.cmd; start-ops.ps1; start-worker.cmd; start-worker.ps1; stop-worker.ps1; test-click.ts; test-maps.ts; test-maps2.ts; test-maps3.ts; test-output.json; test-output.txt; test_out.txt; worker-desktop.cmd; worker-studio.cmd; worker-studio.ps1; worker.err.log; worker.out.log","Env or secret-like files were excluded from staged copy; Git metadata excluded"
"axiom-site","C:\Users\riley\Documents\GitHub\axiom-site","C:\Users\riley\Drive-Staging\Axiom\07_Website\axiom-site_syncsafe","07_Website","axiom-landscaping-demo; axiom-restaurant-demo; axiom-roofing-demo; components; docs; functions; lib; migrations; omniscient-backend; public; scripts; src; .gitignore; AGENTS.md; convert.cjs; eslint.config.mjs; index.html; next.config.mjs; OPERATOR_MANUAL.md; package-lock.json; package.json; postcss.config.js; README.md; scaffold-empire.cjs; tailwind.config.js; TESTING.md; tsconfig.json; tsconfig.node.json; vite.config.ts; wrangler.toml",".git; .wrangler; dist; node_modules; output; .codex-vite.err.log; .codex-vite.log; .dev.vars; .env.example; .tmp-intake-check.js; .vite-preview.err.log; .vite-preview.log; next-env.d.ts","Env or secret-like files were excluded from staged copy; Build output excluded; Dependency tree excluded; Git metadata excluded"
"axiom-ops","C:\Users\riley\Documents\GitHub\axiom-ops","C:\Users\riley\Drive-Staging\Axiom\06_Operations\axiom-ops_syncsafe","06_Operations","functions; migrations; playwright-runner; public; src; .dev.vars.example; .gitignore; cloudflare-env.d.ts; eslint.config.js; index.html; package-lock.json; package.json; README.md; tsconfig.app.json; tsconfig.json; tsconfig.node.json; vite.config.ts; wrangler.toml",".git; .wrangler; dist; node_modules; pages-preview.err.log; pages-preview.log","Build output excluded; Dependency tree excluded; Git metadata excluded"
